participantId,group,distanceCondition,stepFromNewGoal,posterior
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player2,3,0.9975624630252788
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player2,4,0.9980106372236341
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,closer_to_player2,5,0.9985780571869926
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,equal_to_both,0,0.5
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,equal_to_both,1,0.9953178060048816
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,equal_to_both,2,0.9999503864008329
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,equal_to_both,3,0.9999863451322186
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,equal_to_both,4,0.9999931162527319
human_6558f174-56b6-4592-b53b-bf9ff8c7f3ca_player2,Human-Human,equal_to_both,5,0.9999844889787585
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player1,0,0.5
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player1,1,0.6658317771763281
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player1,2,0.9999999999460397
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player1,3,0.9999999999999973
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player1,4,1.0
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player2,0,0.5
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player2,1,0.4437193561718176
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player2,2,0.5290988871715112
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player2,3,0.6625148868003875
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player2,4,0.5009597066484218
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,closer_to_player2,5,0.501312359455788
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,equal_to_both,0,0.5
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,equal_to_both,1,0.8330327504296369
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,equal_to_both,2,0.8114703115173447
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,equal_to_both,3,0.8367038647385726
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,equal_to_both,4,0.9999589428471978
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,Human-Human,equal_to_both,5,0.9999692520734423
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player1,0,0.5
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player1,1,0.5004626996384021
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player1,2,0.519001100382714
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player1,3,0.6032075841263963
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player1,4,0.5866794912556006
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player1,5,0.928839449599213
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player2,0,0.5
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player2,1,0.708906393903014
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player2,2,0.755531371456518
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player2,3,0.8649479000417969
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player2,4,0.6666701018131742
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,closer_to_player2,5,0.6666706667797375
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,equal_to_both,0,0.5
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,equal_to_both,1,0.8625211733700806
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,equal_to_both,2,0.8928942215610864
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,equal_to_both,3,0.9225084096911331
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,equal_to_both,4,0.9499239734862877
human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,Human-Human,equal_to_both,5,0.9728001965699394
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player1,0,0.5
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player1,1,0.6664143229799627
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player1,2,0.49999999999322975
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player1,3,0.9999999999999997
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player1,4,1.0
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player1,5,1.0
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player2,0,0.5
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player2,1,0.49875997925827686
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player2,2,0.49800801914150933
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player2,3,0.49740884084345577
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player2,4,0.5028234218165908
