lambda,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,fit_stage,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent
0.3,5.0,183.0775698446161,187.38088222845764,370.4584520730738,0.6870892018779341,0.3979358516825596,0.7,0.4810126582278481,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_5_sessions_0_to_29.json.zst,available_raw,92.77777777777779,86.67847974640345,69.69907407407408,38.78968253968254,98.88888888888889,97.44917582417582,73.33333333333333,47.5
0.3,5.5,185.79043355756983,187.05435738138976,372.8447909389596,0.6795774647887324,0.4035203582553651,0.6666666666666666,0.5131578947368421,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_5p5_sessions_0_to_29.json.zst,available_raw,93.05555555555556,87.42226856586977,69.12037037037037,38.99801587301587,97.77777777777777,97.64682539682538,69.72222222222223,50.55555555555556
0.3,6.75,186.80196826576974,187.41706677846895,374.2190350442387,0.6851330203442879,0.40380540596057835,0.6666666666666666,0.5256410256410257,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_6p75_sessions_0_to_29.json.zst,available_raw,93.05555555555556,87.21913985424901,69.54034391534391,39.29563492063492,97.77777777777777,97.81659012928363,67.5,51.388888888888886
0.3,8.0,184.85624444672663,190.72145133098735,375.577695777714,0.6647887323943662,0.38032835289077854,0.6555555555555556,0.4875,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p3_alpha_8_sessions_0_to_29.json.zst,available_raw,92.5,87.83384178374182,67.59589947089947,37.25859788359788,97.77777777777777,98.21428502697852,66.66666666666666,48.05555555555555
0.475,3.0,181.0571594178776,192.79962776734482,373.8567871852224,0.7348982785602504,0.3660557391350388,0.8,0.48125,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p475_alpha_3_sessions_0_to_29.json.zst,available_raw,92.77777777777779,89.32314754560383,74.9206349206349,35.34391534391534,100.0,99.35576923076924,84.44444444444444,47.77777777777778
0.475,4.25,176.49386284433135,187.94666087448473,364.44052371881605,0.6903364632237872,0.40482076135508377,0.7722222222222223,0.54375,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p475_alpha_4p25_sessions_0_to_29.json.zst,available_raw,94.16666666666667,88.69237341422516,70.1984126984127,39.523809523809526,100.0,99.27831196581197,80.55555555555554,54.166666666666664
0.475,5.5,175.42667409383836,187.94620718221194,363.3728812760503,0.6828247261345852,0.3965537993154208,0.7777777777777778,0.5063291139240507,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p475_alpha_5p5_sessions_0_to_29.json.zst,available_raw,92.5,88.80013203365971,69.265873015873,38.49867724867725,100.0,99.33262108262107,80.83333333333333,50.0
0.475,6.75,177.0986142199123,187.718934064878,364.8175482847903,0.6719874804381847,0.3957910456126865,0.7388888888888889,0.5,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p475_alpha_6p75_sessions_0_to_29.json.zst,available_raw,92.77777777777779,87.91154826915788,68.17791005291002,38.637566137566125,100.0,98.18585934762405,73.6111111111111,48.888888888888886
0.475,8.0,177.8697207391748,188.43790514188558,366.3076258810604,0.6700704225352113,0.3907873291330297,0.7277777777777777,0.4810126582278481,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p475_alpha_8_sessions_0_to_29.json.zst,available_raw,93.33333333333333,88.30906640261216,67.94642857142857,38.290343915343904,100.0,98.19589560766032,72.22222222222221,47.22222222222222
0.5,0.0,210.36574098602946,193.21792650920742,403.5836674952369,0.8480829420970266,0.36429632304519055,0.8888888888888888,0.47126436781609193,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p5_alpha_0_sessions_0_to_29.json.zst,available_raw,95.55555555555556,89.13876738967194,85.04629629629629,36.041666666666664,100.0,98.93243793243794,89.16666666666667,47.22222222222222
