lambda,p_signal,negative_log_likelihood
10.0,1.0,7305.70434063184
15.0,0.0,3997.816814481745
15.0,0.05,4025.478451714017
15.0,0.1,4057.6399965731944
15.0,0.15,4094.45925714216
15.0,0.2,4136.163361786596
15.0,0.25,4183.058511782033
15.0,0.3,4235.544439971945
15.0,0.35,4294.135199507031
15.0,0.4,4359.488867151522
15.0,0.45,4432.450306861808
15.0,0.5,4514.113795268406
15.0,0.55,4605.917037743699
15.0,0.6,4709.786942277164
15.0,0.65,4828.375010877789
15.0,0.7,4965.457257363808
15.0,0.75,5126.658852254522
15.0,0.8,5320.881962376642
15.0,0.85,5563.457785475943
15.0,0.9,5884.347798101702
15.0,0.95,6355.979982065051
15.0,1.0,7275.710197743963
18.145549,0.0,3973.854802213632
18.145549,0.05,4001.142469143295
18.145549,0.1,4032.9201101962044
18.145549,0.15,4069.344943012942
18.145549,0.2,4110.643474412974
18.145549,0.25,4157.121247544756
18.145549,0.3,4209.17729499366
18.145549,0.35,4267.324921750919
18.145549,0.4,4332.221402402024
18.145549,0.45,4404.710738124344
18.145549,0.5,4485.886275017048
18.145549,0.55,4577.184712345033
18.145549,0.6,4680.531867826364
18.145549,0.65,4798.578059606472
18.145549,0.7,4935.098013732388
18.145549,0.75,5095.7154978496055
18.145549,0.8,5289.331148844705
18.145549,0.85,5531.274495025077
18.145549,0.9,5851.5051917742085
18.145549,0.95,6322.4492374572055
18.145549,1.0,7241.460341585929
20.0,0.0,3949.949926838052
20.0,0.05,3976.914134214102
20.0,0.1,4008.370634182349
20.0,0.15,4044.476410223333
20.0,0.2,4085.4577595721116
20.0,0.25,4131.620041881101
20.0,0.3,4183.362134857633
20.0,0.35,4241.197221036138
20.0,0.4,4305.782490415629
20.0,0.45,4377.9619050886495
20.0,0.5,4458.828828162355
20.0,0.55,4549.820046692258
20.0,0.6,4652.861557453077
20.0,0.65,4770.603977758115
20.0,0.7,4906.8224941214185
20.0,0.75,5067.141555813852
20.0,0.8,5260.462791401734
20.0,0.85,5502.11716643162
20.0,0.9,5822.066432217138
20.0,0.95,6292.739689941919
20.0,1.0,7211.4953547950445
30.0,0.0,3810.839187915094
30.0,0.05,3837.063616457783
30.0,0.1,3867.7893607693154
30.0,0.15,3903.1717896385207
30.0,0.2,3943.435881912043
30.0,0.25,3988.8859656872714
30.0,0.3,4039.920182599628
30.0,0.35,4097.051304486087
30.0,0.4,4160.936493405067
30.0,0.45,4232.420162208321
30.0,0.5,4312.596757093725
30.0,0.55,4402.905025366934
30.0,0.6,4505.274197981354
30.0,0.65,4622.360064856818
30.0,0.7,4757.946091573607
30.0,0.75,4917.6703077665825
30.0,0.8,5110.457746532501
30.0,0.85,5351.683241378241
30.0,0.9,5671.403591403129
30.0,0.95,6142.322356195538
30.0,1.0,7063.888297434176
32.885638,0.0,3784.539730004901
32.885638,0.05,3810.689006441149
32.885638,0.1,3841.3439382612405
32.885638,0.15,3876.659583743834
32.885638,0.2,3916.8607108882634
32.885638,0.25,3962.2515377346544
32.885638,0.3,4013.230204693828
32.885638,0.35,4070.309607918212
32.885638,0.4,4134.147187891404
32.885638,0.45,4205.587835973974
32.885638,0.5,4285.726749926081
32.885638,0.55,4376.003818612714
32.885638,0.6,4478.3499966485915
32.885638,0.65,4595.423707158483
32.885638,0.7,4731.012544754669
32.885638,0.75,4890.761282980566
32.885638,0.8,5083.606636616579
32.885638,0.85,5324.945462904991
32.885638,0.9,5644.881759466002
32.885638,0.95,6116.244807886345
32.885638,1.0,7039.067696250741
40.0,0.0,3757.197494182301
40.0,0.05,3783.220888608815
40.0,0.1,3813.753696321496
40.0,0.15,3848.950798071352
40.0,0.2,3889.0368723666825
40.0,0.25,3934.316140514037
40.0,0.3,3985.1868496461234
40.0,0.35,4042.1621244053363
40.0,0.4,4105.899784319839
40.0,0.45,4177.245294450167
40.0,0.5,4257.2946885990505
40.0,0.55,4347.489059856019
40.0,0.6,4449.761106050123
40.0,0.65,4566.771820607262
40.0,0.7,4702.312710814705
40.0,0.75,4862.034801515977
40.0,0.8,5054.885538655098
40.0,0.85,5296.282342714062
40.0,0.9,5616.376501576358
40.0,0.95,6088.152536693744
40.0,1.0,7013.307657048537
50.0,0.0,3744.5522825879957
50.0,0.05,3770.5273832075245
50.0,0.1,3801.016145375506
50.0,0.15,3836.1731116043397
50.0,0.2,3876.2226923539843
50.0,0.25,3921.4689058079252
50.0,0.3,3972.3098596410514
50.0,0.35,4029.2586059325577
50.0,0.4,4092.972967493009
50.0,0.45,4164.298505595061
50.0,0.5,4244.331472869497
50.0,0.55,4334.513354479233
50.0,0.6,4436.777501268734
50.0,0.65,4553.785978271845
50.0,0.7,4689.33208256238
50.0,0.75,4849.069960979743
50.0,0.8,5041.952907603759
50.0,0.85,5283.410567705824
50.0,0.9,5603.624689241215
50.0,0.95,6075.68479247129
50.0,1.0,7002.3204855441445
