sessionIndex,trialIndex,mapId,distanceCondition,firstDetectedSharedGoal,newGoalPresentedTime,posteriorEvidenceSteps,two_goal_shared_posterior,three_goal_shared_raw_posterior,three_goal_old_alternative_raw_posterior,three_goal_new_raw_posterior,three_goal_shared_scaled_posterior
17,4,301,equal_to_both,0,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457793e-08,0.3333333333333333,0.6666666495647865
17,5,302,closer_to_player1,0,4.0,4,0.9957644603591566,0.6638429735727711,0.0028236930938956135,0.3333333333333333,0.6657227703618911
17,6,303,closer_to_player1,1,3.0,3,0.9999999996726529,0.6666666664484353,2.1823140867966026e-10,0.3333333333333333,0.6666666665939229
17,7,304,equal_to_both,1,3.0,3,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
17,9,306,closer_to_player2,1,3.0,3,0.9999999999986076,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
17,10,307,equal_to_both,0,5.0,5,0.9999999230415427,0.6666666153610286,5.130563816457761e-08,0.3333333333333333,0.6666666495647865
17,11,308,closer_to_player1,1,5.0,5,0.9999999230415427,0.6666666153610286,5.130563816457743e-08,0.3333333333333333,0.6666666495647865
18,0,297,closer_to_player2,1,4.0,4,0.9999999230415428,0.6666666153610286,5.1305638164577575e-08,0.33333333333333326,0.6666666495647865
18,1,298,closer_to_player1,0,3.0,3,0.9999999230415427,0.6666666153610286,5.13056381645779e-08,0.3333333333333333,0.6666666495647865
18,2,299,closer_to_player1,0,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937898e-15,0.33333333333333326,0.6666666666666654
18,3,300,closer_to_player1,1,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937903e-15,0.33333333333333326,0.6666666666666654
18,7,304,closer_to_player2,0,5.0,5,0.9999999996726529,0.6666666664484353,2.1823140867966183e-10,0.3333333333333333,0.6666666665939229
18,8,305,equal_to_both,0,5.0,5,0.9999819075908669,0.666654605060578,1.2061606088706203e-05,0.3333333333333333,0.6666626460828091
